pai_et_municipios,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
OFICIALES RURALES DE MAGDALENA,40,Similar,9,Similar,58%,35%,7%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MAGDALENA,50,Menor,13,Menor,26%,38%,31%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE MAGDALENA,41,Similar,9,Similar,56%,37%,7%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MAGDALENA,42,Similar,10,Similar,52%,37%,10%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MAGDALENA,53,Menor,12,Menor,12%,44%,39%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MAICAO,45,,12,,41%,40%,17%,2%,47%,61%,63%,62%,61%,60%,Sociales y Ciudadanas
OFICIALES URBANOS DE MAICAO,46,Similar,11,Similar,34%,46%,19%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE MAICAO,37,Mayor,8,Mayor,72%,26%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MAICAO,58,Menor,12,Similar,12%,27%,45%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE MAICAO,39,Mayor,10,Mayor,64%,28%,7%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MAICAO,46,Similar,11,Similar,33%,47%,19%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MAICAO,58,Menor,12,Similar,12%,27%,45%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MALAMBO,46,,12,,37%,40%,20%,3%,46%,60%,60%,58%,59%,58%,Sociales y Ciudadanas
OFICIALES URBANOS DE MALAMBO,44,Similar,10,Mayor,43%,42%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE MALAMBO,43,Similar,9,Mayor,49%,41%,11%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MALAMBO,49,Similar,13,Similar,30%,37%,28%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MALAMBO,45,Similar,11,Similar,39%,40%,19%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MALAMBO,59,Menor,11,Similar,5%,29%,50%,16%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MANIZALES,53,,12,,18%,41%,35%,6%,34%,49%,53%,60%,51%,51%,Sociales y Ciudadanas
OFICIALES URBANOS DE MANIZALES,51,Similar,11,Similar,19%,45%,32%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE MANIZALES,45,Mayor,10,Mayor,41%,43%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MANIZALES,60,Menor,11,Similar,6%,25%,53%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE MANIZALES,45,Mayor,8,Mayor,28%,67%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MANIZALES,47,Mayor,10,Mayor,32%,48%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MANIZALES,55,Similar,11,Similar,12%,38%,42%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE MANIZALES,62,Menor,10,Mayor,4%,15%,63%,19%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MEDELLIN,50,,11,,22%,44%,30%,4%,37%,52%,55%,62%,54%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE MEDELLIN,49,Similar,11,Similar,24%,47%,26%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE MEDELLIN,48,Similar,11,Similar,28%,43%,25%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MEDELLIN,56,Menor,12,Similar,12%,33%,46%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MEDELLIN,46,Mayor,10,Similar,32%,48%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MEDELLIN,52,Similar,11,Similar,16%,43%,36%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE MEDELLIN,62,Menor,11,Similar,4%,20%,55%,21%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
META,48,,11,,28%,46%,24%,2%,42%,58%,58%,63%,57%,55%,Sociales y Ciudadanas
OFICIALES URBANOS DE META,48,Similar,11,Similar,27%,47%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE META,47,Similar,11,Similar,32%,44%,22%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE META,51,Similar,12,Similar,20%,43%,32%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE META,42,Mayor,10,Similar,49%,40%,11%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE META,48,Similar,11,Similar,29%,47%,23%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE META,54,Menor,11,Similar,12%,42%,40%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MONTERIA,51,,12,,22%,40%,32%,6%,36%,51%,54%,54%,53%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE MONTERIA,51,Similar,12,Similar,21%,42%,32%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE MONTERIA,45,Mayor,10,Mayor,37%,44%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MONTERIA,56,Menor,12,Similar,12%,33%,42%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE MONTERIA,45,Mayor,10,Mayor,40%,43%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MONTERIA,50,Similar,11,Similar,24%,44%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MONTERIA,58,Menor,12,Similar,8%,30%,47%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE MONTERIA,63,Menor,10,Mayor,4%,16%,55%,24%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
MOSQUERA,54,,11,,11%,42%,41%,6%,30%,46%,50%,57%,49%,49%,Sociales y Ciudadanas
OFICIALES URBANOS DE MOSQUERA,52,Similar,10,Similar,14%,48%,34%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE MOSQUERA,58,Menor,11,Similar,7%,31%,53%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE MOSQUERA,47,Mayor,10,Similar,29%,53%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE MOSQUERA,54,Similar,11,Similar,11%,42%,41%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE MOSQUERA,64,Menor,9,Mayor,1%,14%,67%,18%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
NARIÑO,47,,11,,33%,45%,20%,2%,43%,61%,61%,61%,56%,61%,Sociales y Ciudadanas
OFICIALES URBANOS DE NARIÑO,48,Similar,11,Similar,30%,45%,23%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE NARIÑO,45,Similar,10,Similar,38%,45%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE NARIÑO,44,Similar,12,Similar,52%,30%,15%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE NARIÑO,42,Mayor,10,Similar,51%,37%,12%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE NARIÑO,48,Similar,11,Similar,28%,47%,23%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE NARIÑO,36,Mayor,0,Mayor,100%,0%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
NEIVA,52,,12,,21%,39%,33%,7%,34%,50%,52%,59%,51%,51%,Sociales y Ciudadanas
OFICIALES URBANOS DE NEIVA,50,Similar,11,Similar,23%,43%,31%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE NEIVA,46,Mayor,11,Similar,34%,47%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE NEIVA,58,Menor,14,Menor,13%,26%,42%,19%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE NEIVA,47,Mayor,11,Similar,31%,44%,22%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE NEIVA,55,Similar,12,Similar,13%,35%,41%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE NEIVA,71,Menor,8,Mayor,0%,0%,44%,56%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
NORTE DE SANTANDER,49,,12,,26%,43%,27%,4%,38%,55%,58%,58%,55%,54%,Sociales y Ciudadanas
OFICIALES URBANOS DE NORTE DE SANTANDER,50,Similar,12,Similar,23%,44%,30%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE NORTE DE SANTANDER,44,Mayor,10,Mayor,39%,47%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE NORTE DE SANTANDER,56,Menor,13,Similar,15%,31%,42%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE NORTE DE SANTANDER,44,Mayor,10,Mayor,38%,49%,13%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE NORTE DE SANTANDER,49,Similar,11,Similar,27%,45%,26%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE NORTE DE SANTANDER,57,Menor,12,Similar,10%,32%,45%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PALMIRA,52,,12,,18%,40%,37%,5%,32%,50%,53%,56%,51%,49%,Sociales y Ciudadanas
OFICIALES URBANOS DE PALMIRA,53,Similar,12,Similar,17%,39%,38%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE PALMIRA,49,Similar,11,Similar,23%,45%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE PALMIRA,53,Similar,11,Similar,16%,39%,40%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE PALMIRA,51,Similar,12,Similar,20%,41%,34%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE PALMIRA,55,Similar,11,Similar,11%,39%,44%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PASTO,53,,11,,14%,42%,37%,6%,32%,48%,52%,57%,51%,50%,Sociales y Ciudadanas
OFICIALES URBANOS DE PASTO,54,Similar,11,Similar,14%,42%,38%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE PASTO,47,Mayor,10,Similar,25%,53%,21%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE PASTO,57,Menor,11,Similar,8%,33%,48%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE PASTO,45,Mayor,11,Similar,39%,41%,20%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE PASTO,51,Similar,11,Similar,18%,48%,31%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE PASTO,58,Menor,11,Similar,7%,32%,49%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PEREIRA,52,,11,,18%,43%,34%,4%,34%,51%,53%,60%,54%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE PEREIRA,51,Similar,11,Similar,19%,46%,32%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE PEREIRA,49,Similar,11,Similar,27%,45%,26%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE PEREIRA,58,Menor,12,Similar,9%,29%,49%,14%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE PEREIRA,42,Mayor,7,Mayor,67%,33%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE PEREIRA,48,Mayor,10,Similar,27%,49%,23%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE PEREIRA,54,Similar,11,Similar,13%,41%,41%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE PEREIRA,64,Menor,9,Mayor,2%,15%,58%,25%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PIEDECUESTA,53,,11,,16%,42%,36%,6%,32%,48%,51%,59%,51%,48%,Sociales y Ciudadanas
OFICIALES URBANOS DE PIEDECUESTA,53,Similar,11,Similar,16%,42%,36%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE PIEDECUESTA,49,Mayor,10,Similar,22%,50%,26%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE PIEDECUESTA,58,Menor,11,Similar,9%,31%,48%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE PIEDECUESTA,50,Similar,11,Similar,22%,47%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE PIEDECUESTA,57,Menor,11,Similar,8%,35%,47%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE PIEDECUESTA,69,Menor,7,Mayor,0%,0%,53%,47%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PITALITO,53,,12,,15%,40%,38%,7%,32%,48%,52%,57%,49%,48%,Sociales y Ciudadanas
OFICIALES URBANOS DE PITALITO,56,Similar,12,Similar,10%,36%,43%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE PITALITO,49,Mayor,11,Similar,23%,47%,28%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE PITALITO,53,Similar,12,Similar,17%,37%,42%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE PITALITO,53,Similar,12,Similar,15%,40%,38%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE PITALITO,54,Similar,11,Similar,15%,37%,43%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
POPAYAN,51,,12,,21%,44%,31%,4%,37%,52%,55%,57%,54%,53%,Sociales y Ciudadanas
OFICIALES URBANOS DE POPAYAN,52,Similar,11,Similar,16%,44%,35%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE POPAYAN,46,Mayor,10,Mayor,33%,46%,19%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE POPAYAN,48,Similar,12,Similar,30%,43%,24%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE POPAYAN,44,Mayor,12,Similar,48%,26%,26%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE POPAYAN,49,Similar,11,Similar,25%,47%,26%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE POPAYAN,56,Menor,11,Similar,9%,36%,45%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE POPAYAN,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PUTUMAYO,47,,11,,30%,47%,21%,2%,41%,59%,60%,64%,59%,60%,Sociales y Ciudadanas
OFICIALES URBANOS DE PUTUMAYO,50,Similar,11,Similar,22%,48%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE PUTUMAYO,43,Mayor,9,Mayor,45%,44%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE PUTUMAYO,51,Menor,14,Menor,32%,21%,41%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE PUTUMAYO,42,Mayor,9,Mayor,47%,44%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE PUTUMAYO,48,Similar,11,Similar,27%,48%,23%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE PUTUMAYO,57,Menor,11,Similar,7%,33%,50%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
QUIBDO,43,,10,,46%,40%,12%,1%,49%,64%,64%,66%,64%,62%,Sociales y Ciudadanas
OFICIALES URBANOS DE QUIBDO,43,Similar,10,Similar,46%,40%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE QUIBDO,41,Similar,9,Similar,48%,42%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE QUIBDO,42,Similar,11,Similar,53%,34%,10%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE QUIBDO,40,Similar,8,Mayor,65%,29%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE QUIBDO,41,Similar,9,Similar,54%,37%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE QUIBDO,48,Menor,11,Similar,28%,47%,21%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
QUINDIO,50,,11,,23%,45%,28%,4%,37%,55%,57%,62%,54%,53%,Sociales y Ciudadanas
OFICIALES URBANOS DE QUINDIO,49,Similar,11,Similar,23%,47%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE QUINDIO,48,Similar,11,Similar,28%,44%,27%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE QUINDIO,61,Menor,11,Similar,5%,22%,56%,18%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE QUINDIO,48,Similar,11,Similar,27%,48%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE QUINDIO,55,Menor,11,Similar,11%,39%,42%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
RIOHACHA,46,,12,,38%,41%,19%,3%,46%,60%,61%,62%,61%,59%,Sociales y Ciudadanas
OFICIALES URBANOS DE RIOHACHA,46,Similar,10,Mayor,34%,46%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE RIOHACHA,39,Mayor,8,Mayor,66%,30%,4%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE RIOHACHA,55,Menor,13,Similar,17%,33%,38%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE RIOHACHA,37,Mayor,7,Mayor,76%,21%,3%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE RIOHACHA,44,Similar,10,Mayor,42%,43%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE RIOHACHA,53,Menor,12,Similar,17%,39%,36%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
RIONEGRO,54,,11,,14%,40%,39%,6%,33%,47%,52%,60%,49%,46%,Sociales y Ciudadanas
OFICIALES URBANOS DE RIONEGRO,53,Similar,11,Similar,14%,41%,42%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE RIONEGRO,50,Mayor,10,Similar,21%,47%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE RIONEGRO,60,Menor,12,Similar,6%,29%,47%,19%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE RIONEGRO,50,Mayor,10,Similar,21%,47%,30%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE RIONEGRO,54,Similar,11,Similar,13%,40%,41%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE RIONEGRO,64,Menor,11,Similar,4%,17%,55%,23%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
RISARALDA,46,,11,,34%,44%,20%,2%,45%,62%,61%,64%,59%,61%,Sociales y Ciudadanas
OFICIALES URBANOS DE RISARALDA,48,Similar,11,Similar,28%,47%,23%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE RISARALDA,42,Mayor,10,Similar,50%,38%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE RISARALDA,57,Menor,9,Mayor,4%,39%,50%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE RISARALDA,40,Mayor,9,Mayor,59%,36%,5%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE RISARALDA,45,Similar,11,Similar,36%,45%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE RISARALDA,51,Menor,11,Similar,19%,44%,34%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SABANETA,55,,11,,10%,37%,46%,7%,30%,44%,49%,56%,46%,44%,Sociales y Ciudadanas
OFICIALES URBANOS DE SABANETA,54,Similar,10,Similar,10%,42%,44%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SABANETA,53,Similar,11,Similar,13%,45%,36%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SABANETA,59,Menor,11,Similar,7%,24%,58%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SABANETA,55,Similar,11,Similar,10%,38%,46%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE SABANETA,62,Menor,15,Menor,18%,9%,36%,36%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SAHAGUN,49,,12,,26%,44%,25%,4%,40%,56%,58%,58%,57%,58%,Sociales y Ciudadanas
OFICIALES URBANOS DE SAHAGUN,49,Similar,11,Similar,25%,46%,26%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SAHAGUN,46,Similar,11,Similar,35%,44%,20%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SAHAGUN,58,Menor,12,Similar,7%,38%,38%,17%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE SAHAGUN,46,Similar,10,Mayor,33%,47%,19%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SAHAGUN,49,Similar,11,Similar,26%,44%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SAHAGUN,58,Menor,12,Similar,7%,38%,38%,17%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SAN ANDRES,46,,12,,40%,36%,21%,4%,47%,60%,61%,60%,60%,60%,Sociales y Ciudadanas
OFICIALES URBANOS DE SAN ANDRES,49,Similar,12,Similar,31%,37%,29%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
