pai_et_municipios,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
OFICIALES RURALES DE TUNJA,47,Mayor,7,Mayor,55%,39%,6%,0%,0%,Inglés
PRIVADOS DE TUNJA,66,Menor,13,Similar,9%,16%,27%,34%,14%,Inglés
GC 2 DE TUNJA,53,Mayor,10,Mayor,30%,40%,21%,8%,1%,Inglés
GC 3 DE TUNJA,62,Similar,11,Similar,9%,27%,32%,26%,6%,Inglés
GC 4 DE TUNJA,76,Menor,10,Mayor,1%,2%,12%,48%,36%,Inglés
TURBO,43,,9,,75%,20%,4%,2%,0%,Inglés
OFICIALES URBANOS DE TURBO,43,Similar,9,Similar,74%,19%,5%,2%,0%,Inglés
OFICIALES RURALES DE TURBO,41,Similar,8,Similar,80%,17%,2%,1%,0%,Inglés
PRIVADOS DE TURBO,49,Menor,10,Similar,48%,36%,9%,6%,0%,Inglés
GC 1 DE TURBO,38,Mayor,7,Mayor,90%,10%,0%,0%,0%,Inglés
GC 2 DE TURBO,42,Similar,8,Similar,77%,19%,3%,1%,0%,Inglés
GC 3 DE TURBO,49,Menor,10,Similar,50%,31%,12%,6%,0%,Inglés
URIBIA,41,,8,,83%,15%,2%,1%,0%,Inglés
OFICIALES URBANOS DE URIBIA,43,Similar,8,Similar,75%,20%,3%,1%,0%,Inglés
OFICIALES RURALES DE URIBIA,39,Similar,6,Mayor,92%,8%,0%,0%,0%,Inglés
GC 1 DE URIBIA,40,Similar,7,Similar,88%,11%,0%,0%,0%,Inglés
GC 2 DE URIBIA,46,Menor,9,Similar,60%,31%,6%,3%,1%,Inglés
VALLE DEL CAUCA,50,,10,,45%,35%,13%,5%,1%,Inglés
OFICIALES URBANOS DE VALLE DEL CAUCA,50,Similar,10,Similar,44%,36%,14%,6%,1%,Inglés
OFICIALES RURALES DE VALLE DEL CAUCA,47,Similar,9,Similar,53%,35%,9%,3%,0%,Inglés
PRIVADOS DE VALLE DEL CAUCA,56,Menor,12,Menor,27%,28%,26%,15%,3%,Inglés
GC 1 DE VALLE DEL CAUCA,47,Similar,7,Mayor,52%,43%,5%,0%,0%,Inglés
GC 2 DE VALLE DEL CAUCA,49,Similar,10,Similar,47%,35%,13%,5%,1%,Inglés
GC 3 DE VALLE DEL CAUCA,56,Menor,12,Menor,27%,30%,24%,15%,4%,Inglés
VALLEDUPAR,53,,13,,38%,30%,17%,11%,4%,Inglés
OFICIALES URBANOS DE VALLEDUPAR,52,Similar,11,Mayor,39%,34%,17%,9%,1%,Inglés
OFICIALES RURALES DE VALLEDUPAR,45,Mayor,9,Mayor,63%,29%,7%,1%,0%,Inglés
PRIVADOS DE VALLEDUPAR,60,Menor,16,Menor,25%,20%,21%,21%,12%,Inglés
GC 1 DE VALLEDUPAR,47,Mayor,7,Mayor,50%,42%,8%,0%,0%,Inglés
GC 2 DE VALLEDUPAR,49,Mayor,10,Mayor,48%,33%,13%,5%,1%,Inglés
GC 3 DE VALLEDUPAR,64,Menor,13,Similar,11%,21%,27%,28%,13%,Inglés
VAUPES,43,,7,,72%,25%,3%,0%,0%,Inglés
OFICIALES URBANOS DE VAUPES,45,Similar,7,Similar,64%,31%,5%,1%,0%,Inglés
OFICIALES RURALES DE VAUPES,40,Similar,7,Similar,85%,15%,0%,0%,0%,Inglés
PRIVADOS DE VAUPES,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Inglés
GC 1 DE VAUPES,42,Similar,7,Similar,78%,21%,2%,0%,0%,Inglés
GC 2 DE VAUPES,47,Menor,8,Similar,53%,37%,8%,1%,0%,Inglés
VICHADA,45,,9,,66%,26%,7%,1%,0%,Inglés
OFICIALES URBANOS DE VICHADA,46,Similar,9,Similar,60%,30%,9%,2%,0%,Inglés
OFICIALES RURALES DE VICHADA,41,Mayor,8,Similar,80%,17%,2%,1%,0%,Inglés
GC 1 DE VICHADA,40,Mayor,6,Mayor,93%,7%,0%,0%,0%,Inglés
GC 2 DE VICHADA,45,Similar,9,Similar,64%,27%,7%,1%,0%,Inglés
VILLAVICENCIO,54,,13,,33%,32%,19%,12%,3%,Inglés
OFICIALES URBANOS DE VILLAVICENCIO,53,Similar,11,Mayor,34%,36%,20%,9%,2%,Inglés
OFICIALES RURALES DE VILLAVICENCIO,54,Similar,12,Similar,35%,31%,19%,12%,3%,Inglés
PRIVADOS DE VILLAVICENCIO,57,Similar,16,Menor,33%,20%,18%,20%,9%,Inglés
GC 1 DE VILLAVICENCIO,48,Mayor,11,Mayor,67%,0%,33%,0%,0%,Inglés
GC 2 DE VILLAVICENCIO,48,Mayor,10,Mayor,49%,33%,13%,4%,0%,Inglés
GC 3 DE VILLAVICENCIO,58,Menor,12,Similar,21%,32%,25%,17%,5%,Inglés
GC 4 DE VILLAVICENCIO,76,Menor,10,Mayor,2%,1%,13%,40%,43%,Inglés
YOPAL,54,,12,,30%,35%,20%,11%,3%,Inglés
OFICIALES URBANOS DE YOPAL,53,Similar,11,Similar,31%,39%,19%,9%,1%,Inglés
OFICIALES RURALES DE YOPAL,48,Mayor,10,Mayor,51%,31%,15%,3%,0%,Inglés
PRIVADOS DE YOPAL,66,Menor,14,Menor,11%,15%,28%,32%,15%,Inglés
GC 1 DE YOPAL,45,Mayor,8,Mayor,50%,50%,0%,0%,0%,Inglés
GC 2 DE YOPAL,51,Similar,10,Mayor,37%,39%,17%,6%,1%,Inglés
GC 3 DE YOPAL,64,Menor,13,Similar,9%,22%,29%,28%,11%,Inglés
GC 4 DE YOPAL,75,Menor,9,Mayor,0%,0%,20%,67%,13%,Inglés
YUMBO,50,,10,,45%,34%,14%,6%,0%,Inglés
OFICIALES URBANOS DE YUMBO,50,Similar,10,Similar,44%,33%,15%,7%,1%,Inglés
OFICIALES RURALES DE YUMBO,48,Similar,9,Similar,50%,37%,11%,2%,0%,Inglés
PRIVADOS DE YUMBO,50,Similar,10,Similar,42%,37%,14%,8%,0%,Inglés
GC 2 DE YUMBO,48,Similar,10,Similar,52%,33%,11%,4%,0%,Inglés
GC 3 DE YUMBO,53,Similar,10,Similar,33%,37%,20%,10%,0%,Inglés
ZIPAQUIRA,57,,12,,23%,32%,24%,16%,5%,Inglés
OFICIALES URBANOS DE ZIPAQUIRA,53,Mayor,10,Mayor,31%,39%,20%,9%,1%,Inglés
OFICIALES RURALES DE ZIPAQUIRA,51,Mayor,10,Mayor,42%,36%,17%,4%,2%,Inglés
PRIVADOS DE ZIPAQUIRA,65,Menor,12,Similar,8%,19%,30%,31%,12%,Inglés
GC 2 DE ZIPAQUIRA,48,Mayor,9,Mayor,53%,34%,11%,2%,0%,Inglés
GC 3 DE ZIPAQUIRA,58,Similar,12,Similar,18%,33%,26%,18%,5%,Inglés
GC 4 DE ZIPAQUIRA,72,Menor,8,Mayor,0%,0%,30%,44%,26%,Inglés
