pai_et_municipios,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
PUTUMAYO,51,,11,,9%,39%,48%,4%,63%,39%,60%,Matemáticas
OFICIALES URBANOS DE PUTUMAYO,54,Similar,11,Similar,6%,33%,55%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE PUTUMAYO,46,Mayor,10,Similar,14%,52%,33%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE PUTUMAYO,56,Menor,10,Similar,3%,24%,71%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE PUTUMAYO,47,Mayor,11,Similar,13%,55%,31%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE PUTUMAYO,52,Similar,11,Similar,8%,36%,52%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE PUTUMAYO,63,Menor,10,Similar,0%,10%,69%,21%,N.D.,N.D.,N.D.,Matemáticas
QUIBDO,46,,11,,19%,49%,30%,2%,69%,48%,66%,Matemáticas
OFICIALES URBANOS DE QUIBDO,46,Similar,11,Similar,18%,50%,30%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE QUIBDO,45,Similar,10,Similar,18%,58%,24%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE QUIBDO,44,Similar,13,Menor,32%,39%,27%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE QUIBDO,41,Mayor,11,Similar,29%,59%,12%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE QUIBDO,43,Similar,10,Similar,23%,53%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE QUIBDO,51,Menor,11,Similar,10%,39%,46%,4%,N.D.,N.D.,N.D.,Matemáticas
QUINDIO,53,,12,,7%,34%,52%,7%,60%,37%,55%,Matemáticas
OFICIALES URBANOS DE QUINDIO,53,Similar,11,Similar,7%,34%,52%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE QUINDIO,51,Similar,11,Similar,9%,38%,49%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE QUINDIO,66,Menor,12,Similar,3%,5%,53%,39%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE QUINDIO,51,Similar,11,Similar,8%,38%,50%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE QUINDIO,59,Menor,12,Similar,4%,20%,59%,18%,N.D.,N.D.,N.D.,Matemáticas
RIOHACHA,49,,12,,15%,41%,39%,5%,65%,43%,60%,Matemáticas
OFICIALES URBANOS DE RIOHACHA,49,Similar,11,Similar,11%,43%,43%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE RIOHACHA,40,Mayor,10,Mayor,36%,50%,14%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE RIOHACHA,59,Menor,13,Similar,3%,23%,53%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE RIOHACHA,38,Mayor,9,Mayor,44%,50%,7%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE RIOHACHA,47,Similar,11,Similar,16%,47%,36%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE RIOHACHA,57,Menor,13,Similar,5%,26%,54%,15%,N.D.,N.D.,N.D.,Matemáticas
RIONEGRO,57,,13,,5%,25%,56%,15%,54%,31%,47%,Matemáticas
OFICIALES URBANOS DE RIONEGRO,57,Similar,12,Similar,4%,24%,57%,15%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE RIONEGRO,53,Mayor,11,Mayor,6%,34%,57%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE RIONEGRO,63,Menor,14,Similar,3%,15%,52%,30%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE RIONEGRO,53,Mayor,11,Mayor,5%,32%,60%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE RIONEGRO,58,Similar,13,Similar,5%,24%,55%,17%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE RIONEGRO,71,Menor,8,Mayor,0%,2%,47%,51%,N.D.,N.D.,N.D.,Matemáticas
RISARALDA,49,,12,,15%,40%,42%,3%,65%,45%,62%,Matemáticas
OFICIALES URBANOS DE RISARALDA,51,Similar,11,Similar,9%,39%,49%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE RISARALDA,43,Mayor,12,Similar,31%,42%,25%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE RISARALDA,61,Menor,9,Mayor,0%,11%,71%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE RISARALDA,40,Mayor,9,Mayor,34%,52%,14%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE RISARALDA,47,Similar,12,Similar,17%,43%,38%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE RISARALDA,55,Menor,10,Mayor,4%,26%,64%,6%,N.D.,N.D.,N.D.,Matemáticas
SABANETA,57,,11,,4%,24%,63%,10%,53%,33%,51%,Matemáticas
OFICIALES URBANOS DE SABANETA,55,Similar,11,Similar,4%,27%,62%,7%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SABANETA,53,Mayor,11,Similar,5%,37%,55%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SABANETA,62,Menor,10,Similar,2%,8%,71%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SABANETA,57,Similar,11,Similar,4%,24%,63%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE SABANETA,71,Menor,7,Mayor,0%,0%,45%,55%,N.D.,N.D.,N.D.,Matemáticas
SAHAGUN,55,,12,,5%,33%,53%,9%,54%,34%,50%,Matemáticas
OFICIALES URBANOS DE SAHAGUN,55,Similar,12,Similar,3%,33%,55%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SAHAGUN,51,Mayor,11,Similar,10%,39%,48%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SAHAGUN,65,Menor,12,Similar,2%,12%,54%,33%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE SAHAGUN,52,Similar,11,Similar,7%,39%,50%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SAHAGUN,55,Similar,12,Similar,5%,33%,55%,8%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SAHAGUN,65,Menor,12,Similar,2%,12%,54%,33%,N.D.,N.D.,N.D.,Matemáticas
SAN ANDRES,46,,13,,22%,40%,33%,4%,66%,47%,61%,Matemáticas
OFICIALES URBANOS DE SAN ANDRES,50,Menor,12,Similar,13%,37%,45%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SAN ANDRES,40,Mayor,11,Mayor,36%,48%,15%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SAN ANDRES,55,Menor,12,Similar,7%,29%,54%,11%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SAN ANDRES,42,Mayor,11,Mayor,29%,49%,21%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SAN ANDRES,50,Menor,14,Similar,18%,34%,41%,7%,N.D.,N.D.,N.D.,Matemáticas
SANTA MARTA,50,,12,,12%,39%,44%,4%,64%,43%,60%,Matemáticas
OFICIALES URBANOS DE SANTA MARTA,49,Similar,11,Similar,13%,42%,42%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SANTA MARTA,45,Mayor,10,Mayor,19%,48%,32%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SANTA MARTA,56,Menor,12,Similar,7%,25%,58%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE SANTA MARTA,42,Mayor,10,Mayor,23%,61%,14%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SANTA MARTA,47,Similar,11,Similar,16%,46%,37%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SANTA MARTA,56,Menor,11,Similar,5%,24%,62%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE SANTA MARTA,48,Similar,18,Menor,25%,25%,50%,0%,N.D.,N.D.,N.D.,Matemáticas
SANTANDER,55,,12,,5%,31%,55%,9%,57%,34%,54%,Matemáticas
OFICIALES URBANOS DE SANTANDER,56,Similar,12,Similar,4%,29%,57%,10%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SANTANDER,52,Similar,11,Similar,7%,36%,52%,5%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SANTANDER,58,Similar,14,Menor,7%,22%,52%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE SANTANDER,50,Mayor,11,Similar,10%,43%,44%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SANTANDER,54,Similar,11,Similar,6%,32%,55%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SANTANDER,62,Menor,11,Similar,1%,15%,64%,21%,N.D.,N.D.,N.D.,Matemáticas
SINCELEJO,52,,13,,9%,37%,44%,9%,58%,38%,56%,Matemáticas
OFICIALES URBANOS DE SINCELEJO,51,Similar,12,Similar,9%,40%,45%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SINCELEJO,46,Mayor,11,Mayor,17%,51%,29%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SINCELEJO,60,Menor,14,Similar,5%,20%,48%,26%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE SINCELEJO,44,Mayor,10,Mayor,22%,54%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SINCELEJO,51,Similar,12,Similar,9%,41%,45%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SINCELEJO,62,Menor,13,Similar,4%,16%,52%,29%,N.D.,N.D.,N.D.,Matemáticas
SOACHA,53,,10,,5%,34%,56%,4%,61%,37%,57%,Matemáticas
OFICIALES URBANOS DE SOACHA,51,Similar,10,Similar,7%,40%,51%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SOACHA,50,Similar,11,Similar,8%,40%,52%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SOACHA,55,Similar,10,Similar,4%,27%,63%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SOACHA,51,Similar,10,Similar,7%,41%,50%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SOACHA,54,Similar,10,Similar,4%,30%,60%,5%,N.D.,N.D.,N.D.,Matemáticas
SOGAMOSO,58,,11,,2%,21%,64%,13%,52%,29%,47%,Matemáticas
OFICIALES URBANOS DE SOGAMOSO,57,Similar,10,Similar,2%,23%,67%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SOGAMOSO,54,Mayor,10,Similar,5%,33%,60%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SOGAMOSO,62,Menor,12,Similar,2%,16%,58%,24%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SOGAMOSO,53,Mayor,10,Similar,5%,33%,58%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SOGAMOSO,60,Similar,11,Similar,1%,18%,65%,16%,N.D.,N.D.,N.D.,Matemáticas
SOLEDAD,51,,12,,11%,38%,46%,6%,60%,41%,58%,Matemáticas
OFICIALES URBANOS DE SOLEDAD,51,Similar,11,Similar,8%,39%,50%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SOLEDAD,51,Similar,13,Similar,14%,36%,42%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SOLEDAD,48,Similar,12,Similar,14%,43%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SOLEDAD,57,Menor,12,Similar,3%,24%,62%,11%,N.D.,N.D.,N.D.,Matemáticas
SUCRE,47,,12,,17%,45%,36%,3%,65%,46%,63%,Matemáticas
OFICIALES URBANOS DE SUCRE,49,Similar,11,Similar,12%,42%,42%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE SUCRE,43,Mayor,10,Mayor,25%,51%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE SUCRE,57,Menor,13,Similar,4%,25%,58%,13%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE SUCRE,42,Mayor,10,Mayor,28%,52%,19%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE SUCRE,48,Similar,12,Similar,14%,44%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE SUCRE,61,Menor,10,Mayor,1%,16%,68%,16%,N.D.,N.D.,N.D.,Matemáticas
TOLIMA,49,,11,,12%,44%,41%,3%,65%,43%,63%,Matemáticas
OFICIALES URBANOS DE TOLIMA,50,Similar,11,Similar,10%,43%,44%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE TOLIMA,47,Similar,11,Similar,15%,49%,34%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE TOLIMA,52,Similar,13,Menor,10%,33%,50%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE TOLIMA,45,Mayor,10,Similar,19%,53%,27%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE TOLIMA,49,Similar,11,Similar,12%,45%,41%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE TOLIMA,57,Menor,11,Similar,3%,24%,62%,11%,N.D.,N.D.,N.D.,Matemáticas
TULUA,53,,12,,7%,32%,55%,6%,60%,36%,56%,Matemáticas
OFICIALES URBANOS DE TULUA,52,Similar,11,Similar,8%,35%,53%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE TULUA,48,Mayor,11,Similar,15%,42%,41%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE TULUA,59,Menor,11,Similar,3%,16%,68%,12%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE TULUA,48,Mayor,10,Mayor,5%,58%,35%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE TULUA,51,Similar,11,Similar,9%,36%,51%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE TULUA,58,Menor,11,Similar,4%,20%,66%,11%,N.D.,N.D.,N.D.,Matemáticas
TUMACO,43,,11,,27%,49%,23%,2%,71%,53%,68%,Matemáticas
OFICIALES URBANOS DE TUMACO,44,Similar,11,Similar,22%,51%,26%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE TUMACO,39,Mayor,10,Similar,38%,49%,13%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE TUMACO,53,Menor,14,Menor,12%,32%,43%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE TUMACO,40,Similar,10,Similar,37%,49%,14%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE TUMACO,43,Similar,11,Similar,26%,50%,23%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE TUMACO,58,Menor,12,Similar,6%,21%,58%,15%,N.D.,N.D.,N.D.,Matemáticas
TUNJA,60,,12,,2%,17%,61%,20%,49%,27%,43%,Matemáticas
OFICIALES URBANOS DE TUNJA,59,Similar,11,Similar,2%,20%,63%,15%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE TUNJA,54,Mayor,11,Similar,6%,30%,61%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE TUNJA,64,Menor,12,Similar,1%,11%,56%,31%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE TUNJA,54,Mayor,11,Similar,6%,31%,58%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE TUNJA,63,Similar,11,Similar,1%,12%,65%,23%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE TUNJA,72,Menor,11,Similar,0%,2%,37%,61%,N.D.,N.D.,N.D.,Matemáticas
TURBO,43,,10,,25%,50%,24%,1%,70%,52%,69%,Matemáticas
OFICIALES URBANOS DE TURBO,43,Similar,10,Similar,25%,51%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE TURBO,43,Similar,10,Similar,27%,52%,20%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE TURBO,50,Menor,11,Similar,13%,38%,47%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE TURBO,40,Similar,9,Similar,31%,56%,13%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE TURBO,43,Similar,10,Similar,25%,52%,22%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE TURBO,49,Menor,11,Similar,16%,35%,47%,3%,N.D.,N.D.,N.D.,Matemáticas
URIBIA,38,,10,,48%,40%,12%,0%,79%,57%,72%,Matemáticas
OFICIALES URBANOS DE URIBIA,43,Menor,11,Similar,29%,46%,25%,0%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE URIBIA,36,Similar,8,Mayor,57%,38%,6%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE URIBIA,37,Similar,9,Similar,50%,42%,8%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE URIBIA,43,Menor,13,Menor,35%,34%,30%,1%,N.D.,N.D.,N.D.,Matemáticas
VALLE DEL CAUCA,50,,11,,10%,40%,46%,4%,62%,41%,60%,Matemáticas
OFICIALES URBANOS DE VALLE DEL CAUCA,51,Similar,12,Similar,10%,39%,47%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE VALLE DEL CAUCA,48,Similar,11,Similar,13%,45%,40%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE VALLE DEL CAUCA,56,Menor,11,Similar,4%,27%,61%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE VALLE DEL CAUCA,46,Mayor,10,Similar,12%,52%,35%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE VALLE DEL CAUCA,50,Similar,11,Similar,11%,41%,45%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE VALLE DEL CAUCA,55,Menor,11,Similar,4%,28%,59%,8%,N.D.,N.D.,N.D.,Matemáticas
VALLEDUPAR,54,,13,,9%,32%,50%,9%,57%,36%,54%,Matemáticas
OFICIALES URBANOS DE VALLEDUPAR,53,Similar,12,Similar,6%,34%,52%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE VALLEDUPAR,47,Mayor,11,Mayor,18%,46%,34%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE VALLEDUPAR,56,Similar,15,Menor,10%,23%,50%,16%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE VALLEDUPAR,45,Mayor,9,Mayor,13%,57%,30%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE VALLEDUPAR,50,Mayor,12,Similar,11%,39%,46%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE VALLEDUPAR,62,Menor,13,Similar,3%,15%,59%,23%,N.D.,N.D.,N.D.,Matemáticas
VAUPES,42,,11,,31%,50%,19%,1%,75%,52%,68%,Matemáticas
OFICIALES URBANOS DE VAUPES,45,Similar,10,Similar,18%,54%,27%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE VAUPES,35,Mayor,8,Mayor,55%,41%,4%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE VAUPES,30,Mayor,0,Mayor,100%,0%,0%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE VAUPES,40,Similar,10,Similar,35%,49%,15%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE VAUPES,46,Menor,10,Similar,14%,53%,32%,1%,N.D.,N.D.,N.D.,Matemáticas
VICHADA,45,,12,,25%,39%,35%,1%,70%,46%,67%,Matemáticas
OFICIALES URBANOS DE VICHADA,49,Menor,11,Similar,12%,39%,49%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE VICHADA,39,Mayor,11,Similar,45%,39%,15%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE VICHADA,36,Mayor,8,Mayor,53%,43%,5%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE VICHADA,48,Similar,11,Similar,16%,38%,45%,1%,N.D.,N.D.,N.D.,Matemáticas
VILLAVICENCIO,55,,12,,5%,30%,56%,9%,58%,34%,54%,Matemáticas
OFICIALES URBANOS DE VILLAVICENCIO,55,Similar,11,Similar,4%,30%,60%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE VILLAVICENCIO,56,Similar,11,Similar,1%,30%,59%,9%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE VILLAVICENCIO,56,Similar,14,Menor,8%,28%,46%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE VILLAVICENCIO,47,Mayor,4,Mayor,0%,67%,33%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE VILLAVICENCIO,51,Mayor,11,Similar,8%,39%,50%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE VILLAVICENCIO,58,Similar,11,Similar,3%,22%,62%,13%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE VILLAVICENCIO,71,Menor,10,Mayor,1%,2%,44%,53%,N.D.,N.D.,N.D.,Matemáticas
YOPAL,56,,11,,3%,31%,55%,11%,57%,33%,53%,Matemáticas
OFICIALES URBANOS DE YOPAL,55,Similar,11,Similar,3%,32%,57%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE YOPAL,51,Mayor,10,Similar,8%,43%,45%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE YOPAL,64,Menor,12,Similar,2%,14%,52%,33%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE YOPAL,49,Mayor,5,Mayor,0%,67%,33%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE YOPAL,53,Similar,10,Similar,4%,36%,54%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE YOPAL,63,Menor,11,Similar,1%,13%,59%,27%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE YOPAL,71,Menor,16,Menor,7%,0%,20%,73%,N.D.,N.D.,N.D.,Matemáticas
YUMBO,50,,12,,11%,42%,44%,3%,64%,43%,59%,Matemáticas
OFICIALES URBANOS DE YUMBO,50,Similar,12,Similar,11%,41%,45%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE YUMBO,49,Similar,11,Similar,11%,41%,45%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE YUMBO,48,Similar,11,Similar,13%,50%,37%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE YUMBO,48,Similar,11,Similar,13%,46%,39%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE YUMBO,52,Similar,12,Similar,8%,36%,52%,5%,N.D.,N.D.,N.D.,Matemáticas
ZIPAQUIRA,58,,11,,3%,21%,63%,12%,53%,29%,48%,Matemáticas
OFICIALES URBANOS DE ZIPAQUIRA,56,Similar,11,Similar,4%,26%,63%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ZIPAQUIRA,54,Mayor,10,Similar,3%,31%,61%,5%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ZIPAQUIRA,62,Menor,11,Similar,2%,13%,65%,21%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE ZIPAQUIRA,50,Mayor,9,Mayor,8%,44%,47%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ZIPAQUIRA,59,Similar,11,Similar,2%,18%,66%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE ZIPAQUIRA,68,Menor,8,Mayor,0%,0%,68%,32%,N.D.,N.D.,N.D.,Matemáticas
